Date,Close,Change,Change (%),Open,High,Low,Volume
Oct 29 2023,"34,526.42",428.83,1.26%,"34,074.17","34,763.00","33,937.31","7,515.00"
Oct 28 2023,"34,097.59",178.19,0.53%,"33,901.31","34,500.00","33,867.38","5,992.00"
Oct 27 2023,"33,919.40",-238.23,-0.70%,"34,128.38","34,249.99","33,400.00","17,966.00"
Oct 26 2023,"34,157.63",-305.52,-0.89%,"34,516.13","34,843.04","33,735.86","20,574.00"
Oct 25 2023,"34,463.15",631.05,1.87%,"33,935.90","35,144.00","33,690.91","23,945.00"
Oct 24 2023,"33,832.10",905.73,2.75%,"33,090.95","35,157.23","32,851.45","49,317.00"
Oct 23 2023,"32,926.37","2,927.11",9.76%,"29,976.50","35,000.00","29,890.89","57,395.00"
Oct 22 2023,"29,999.26",74.38,0.25%,"29,905.41","30,275.00","29,670.00","7,606.00"
Oct 21 2023,"29,924.88",216.79,0.73%,"29,672.78","30,369.00","29,475.06","8,976.00"
Oct 20 2023,"29,708.09","1,009.64",3.52%,"28,775.28","30,248.00","28,591.85","25,746.00"
Oct 19 2023,"28,698.45",375.01,1.32%,"28,315.97","28,938.96","28,122.57","15,998.00"
Oct 18 2023,"28,323.44",-93.68,-0.33%,"28,699.20","28,938.20","28,151.60","9,505.00"
Oct 17 2023,"28,417.12",-92.40,-0.32%,"28,538.07","28,637.21","28,083.19","17,799.00"
Oct 16 2023,"28,509.52","1,340.21",4.93%,"27,177.93","30,000.00","27,135.92","42,500.00"
Oct 15 2023,"27,169.31",309.53,1.15%,"26,851.22","27,301.37","26,806.06","7,691.00"
Oct 14 2023,"26,859.78",14.71,0.05%,"26,867.03","26,988.12","26,797.00","3,791.00"
Oct 13 2023,"26,845.07",105.65,0.40%,"26,748.93","27,122.24","26,662.62","11,535.00"
Oct 12 2023,"26,739.42",-104.23,-0.39%,"26,852.24","26,939.55","26,537.72","10,214.00"
Oct 11 2023,"26,843.65",-573.01,-2.09%,"27,408.54","27,478.61","26,521.32","20,703.00"
Oct 10 2023,"27,416.66",-178.79,-0.65%,"27,609.55","27,739.94","27,291.81","12,603.00"
Oct 09 2023,"27,595.45",-349.17,-1.25%,"27,932.78","28,003.70","27,268.63","12,592.00"
Oct 08 2023,"27,944.62",-23.98,-0.09%,"27,972.78","28,109.94","27,708.60","5,184.00"
Oct 07 2023,"27,968.60",17.32,0.06%,"27,931.65","28,040.84","27,861.20","4,448.00"
Oct 06 2023,"27,951.28",535.20,1.95%,"27,423.12","28,288.88","27,173.41","16,637.00"
Oct 05 2023,"27,416.08",-375.83,-1.35%,"27,762.33","28,140.00","27,358.05","17,449.00"
Oct 04 2023,"27,791.91",338.42,1.23%,"27,427.58","27,842.38","27,208.65","12,680.00"
Oct 03 2023,"27,453.49",-163.23,-0.59%,"27,544.11","27,672.12","27,160.47","17,227.00"
Oct 02 2023,"27,616.72",-354.70,-1.27%,"28,021.39","28,613.37","27,302.30","33,175.00"
Oct 01 2023,"27,971.42",991.95,3.68%,"26,960.71","28,062.62","26,955.25","10,870.00"
Sep 30 2023,"26,979.47",61.55,0.23%,"26,898.92","27,097.25","26,884.86","5,365.00"
Sep 29 2023,"26,917.92",-109.78,-0.41%,"27,020.50","27,238.90","26,661.71","15,680.00"
Sep 28 2023,"27,027.70",681.16,2.59%,"26,362.98","27,313.86","26,321.37","23,560.00"
Sep 27 2023,"26,346.54",140.11,0.53%,"26,219.98","26,830.00","26,088.37","17,459.00"
Sep 26 2023,"26,206.43",-84.74,-0.32%,"26,289.70","26,397.59","26,080.00","8,830.00"
Sep 25 2023,"26,291.17",34.38,0.13%,"26,226.30","26,444.95","25,983.78","14,215.00"
Sep 24 2023,"26,256.79",-316.09,-1.19%,"26,588.28","26,731.10","26,118.86","6,795.00"
Sep 23 2023,"26,572.88",-4.69,-0.02%,"26,594.25","26,638.58","26,513.00","3,209.00"
Sep 22 2023,"26,577.57",2.26,0.01%,"26,596.54","26,742.86","26,467.94","10,255.00"
Sep 21 2023,"26,575.31",-574.69,-2.12%,"27,104.15","27,163.48","26,359.70","15,133.00"
Sep 20 2023,"27,150.00",-72.31,-0.27%,"27,216.44","27,393.78","26,798.98","15,411.00"
Sep 19 2023,"27,222.31",469.80,1.76%,"26,773.03","27,500.00","26,666.93","18,288.00"
Sep 18 2023,"26,752.51",243.77,0.92%,"26,534.23","27,427.34","26,382.13","20,872.00"
Sep 17 2023,"26,508.74",-48.75,-0.18%,"26,565.97","26,626.49","26,405.04","4,018.00"
Sep 16 2023,"26,557.49",-80.93,-0.30%,"26,594.35","26,777.00","26,453.32","5,110.00"
Sep 15 2023,"26,638.42",108.47,0.41%,"26,515.37","26,892.65","26,213.96","12,408.00"
Sep 14 2023,"26,529.95",306.38,1.17%,"26,213.24","26,869.06","26,128.25","16,892.00"
Sep 13 2023,"26,223.57",363.38,1.41%,"25,847.49","26,413.59","25,763.43","13,533.00"
Sep 12 2023,"25,860.19",741.18,2.95%,"25,149.46","26,556.91","25,120.76","25,356.00"
Sep 11 2023,"25,119.01",-721.29,-2.79%,"25,843.50","25,891.60","24,900.00","18,195.00"
Sep 10 2023,"25,840.30",-49.66,-0.19%,"25,900.69","26,023.89","25,578.01","5,970.00"
Sep 09 2023,"25,889.96",-15.04,-0.06%,"25,897.72","25,942.69","25,791.45","2,893.00"
Sep 08 2023,"25,905.00",-289.75,-1.11%,"26,259.44","26,460.41","25,640.10","14,451.00"
Sep 07 2023,"26,194.75",430.70,1.67%,"25,746.84","26,440.55","25,595.80","13,838.00"
Sep 06 2023,"25,764.05",-28.09,-0.11%,"25,771.50","26,025.78","25,358.00","11,524.00"
Sep 05 2023,"25,792.14",-15.01,-0.06%,"25,821.61","25,884.04","25,551.36","7,776.00"
Sep 04 2023,"25,807.15",-165.57,-0.64%,"25,961.10","26,093.07","25,627.00","5,521.00"
Sep 03 2023,"25,972.72",110.96,0.43%,"25,857.29","26,123.00","25,792.29","4,612.00"
Sep 02 2023,"25,861.76",35.25,0.14%,"25,794.32","25,982.48","25,707.30","4,807.00"
Sep 01 2023,"25,826.51",-120.12,-0.46%,"25,949.30","26,142.28","25,307.37","18,859.00"
Aug 31 2023,"25,946.63","-1,370.52",-5.02%,"27,297.88","27,576.99","25,660.61","18,973.00"
Aug 30 2023,"27,317.15",-383.85,-1.39%,"27,722.60","27,775.00","27,015.75","13,414.00"
Aug 29 2023,"27,701.00","1,600.57",6.13%,"26,096.77","28,184.89","25,903.18","28,321.00"
Aug 28 2023,"26,100.43",11.50,0.04%,"26,061.74","26,232.88","25,850.00","8,013.00"
Aug 27 2023,"26,088.93",84.80,0.33%,"26,000.52","26,171.87","25,961.81","2,794.00"
Aug 26 2023,"26,004.13",-31.24,-0.12%,"26,045.00","26,115.44","25,971.44","2,347.00"
