Date,Close,Change,Change (%),Open,High,Low,Volume
Dec 30 2016,963.74,2.51,0.26%,960.63,963.74,947.24,"102,864.00"
Dec 31 2016,998.33,34.58,3.59%,963.66,1003.08,958.7,"148,022.00"
Jan 01 2017,1021.75,23.43,2.35%,998.62,1031.39,996.7,"217,455.00"
Jan 02 2017,1043.84,22.09,2.16%,1021.6,1044.08,1021.6,"177,391.00"
Jan 03 2017,1154.73,110.89,10.62%,1044.4,1159.42,1044.4,"298,724.00"
Jan 04 2017,1013.38,-141.35,-12.24%,1156.73,1191.1,910.42,"503,462.00"
Jan 05 2017,902.2,-111.18,-10.97%,1014.24,1046.81,883.94,"390,019.00"
Jan 06 2017,908.59,6.38,0.71%,903.49,908.59,823.56,"307,676.00"
Jan 07 2017,911.2,2.61,0.29%,908.17,942.72,887.25,"174,182.00"
Jan 08 2017,902.83,-8.37,-0.92%,913.24,913.69,879.81,"157,147.00"
Jan 09 2017,907.68,4.85,0.54%,902.44,914.87,901.06,"127,586.00"
Jan 10 2017,777.76,-129.92,-14.31%,908.12,919.45,762.76,"399,776.00"
Jan 11 2017,804.83,27.08,3.48%,775.18,826.25,755.76,"276,238.00"
Jan 12 2017,823.98,19.15,2.38%,803.74,829.0,780.0,"205,062.00"
Jan 13 2017,818.41,-5.57,-0.68%,825.14,835.09,812.46,"113,712.00"
Jan 14 2017,821.8,3.39,0.41%,818.14,823.31,812.87,"86,412.00"
Jan 15 2017,831.53,9.74,1.18%,821.78,834.53,820.27,"99,521.00"
Jan 16 2017,907.94,76.4,9.19%,830.95,910.56,830.8,"170,821.00"
Jan 17 2017,886.62,-21.32,-2.35%,909.37,917.5,858.3,"254,536.00"
Jan 18 2017,899.07,12.45,1.40%,888.34,904.61,884.34,"117,482.00"
Jan 19 2017,895.03,-4.05,-0.45%,898.17,899.4,887.01,"96,900.00"
Jan 20 2017,921.79,26.76,2.99%,895.55,927.37,895.53,"120,589.00"
Jan 21 2017,924.67,2.88,0.31%,922.21,937.52,897.56,"126,069.00"
Jan 22 2017,921.01,-3.66,-0.40%,925.5,928.27,916.74,"79,899.00"
Jan 23 2017,892.69,-28.33,-3.08%,910.68,924.14,892.29,"124,734.00"
Jan 24 2017,901.54,8.86,0.99%,891.92,903.25,891.69,"134,027.00"
Jan 25 2017,917.59,16.04,1.78%,902.39,919.33,902.22,"143,809.00"
Jan 26 2017,919.75,2.16,0.24%,918.36,923.22,915.85,"136,552.00"
Jan 27 2017,921.59,1.84,0.20%,919.81,923.91,919.81,"74,848.00"
Jan 28 2017,919.5,-2.09,-0.23%,922.07,923.42,919.15,"66,179.00"
Jan 29 2017,920.38,0.89,0.10%,920.15,923.05,919.47,"84,994.00"
Jan 30 2017,970.4,50.02,5.43%,920.96,972.02,920.96,"169,601.00"
Jan 31 2017,989.02,18.62,1.92%,970.94,989.11,970.74,"151,776.00"
Feb 01 2017,1011.8,22.78,2.30%,990.0,1013.52,983.22,"144,120.00"
Feb 01 2017,1011.8,22.78,2.30%,990.0,1013.52,983.22,"144,120.00"
Feb 02 2017,1029.91,18.11,1.79%,1011.46,1033.87,1008.79,"195,432.00"
Feb 03 2017,1042.9,12.99,1.26%,1031.33,1045.9,1015.16,"148,685.00"
Feb 04 2017,1027.34,-15.56,-1.49%,1043.52,1043.63,1022.37,"111,168.00"
Feb 05 2017,1038.15,10.81,1.05%,1028.4,1044.64,1028.16,"107,654.00"
Feb 06 2017,1061.35,23.2,2.23%,1040.14,1061.93,1040.14,"137,567.00"
Feb 07 2017,1063.07,1.72,0.16%,1062.32,1078.97,1037.49,"189,879.00"
Feb 08 2017,994.38,-68.69,-6.46%,1064.7,1088.99,953.34,"409,520.00"
Feb 09 2017,988.67,-5.71,-0.57%,995.63,998.9,946.69,"192,633.00"
Feb 10 2017,1004.45,15.78,1.60%,988.9,1009.29,982.83,"101,807.00"
