Trade at 2018-04-19 23:30:00 with price 8252.03 and signal 1, total assets : 0.12118230302119598, trade_pnl : 0, net_pnl : 0
Trade at 2018-04-20 01:00:00 with price 8249.95 and signal -1, total assets : 0, trade_pnl : -0.25205919028417156, net_pnl : -0.25205919028417156
Trade at 2018-04-20 01:30:00 with price 8234.16 and signal 1, total assets : 0.12144529618078832, trade_pnl : 0, net_pnl : -0.25205919028417156
Trade at 2018-04-20 02:00:00 with price 8226.7 and signal -1, total assets : 0, trade_pnl : -0.9059819095085686, net_pnl : -1.1580410997927402
Trade at 2018-04-20 02:30:00 with price 8254.08 and signal 1, total assets : 0.12115220593936575, trade_pnl : 0, net_pnl : -1.1580410997927402
Trade at 2018-04-20 03:00:00 with price 8272.28 and signal -1, total assets : 0, trade_pnl : 2.2049701480965496, net_pnl : 1.0469290483038094
Trade at 2018-04-20 03:30:00 with price 8275.92 and signal 1, total assets : 0.1208324875059208, trade_pnl : 0, net_pnl : 1.0469290483038094
Trade at 2018-04-20 04:00:00 with price 8253.0 and signal -1, total assets : 0, trade_pnl : -2.7694806136356647, net_pnl : -1.7225515653318553
Trade at 2018-04-20 04:30:00 with price 8252.13 and signal -1, total assets : -0.12118083452393505, trade_pnl : 0, net_pnl : -1.7225515653318553
Trade at 2018-04-20 05:30:00 with price 8357.37 and signal 1, total assets : 0, trade_pnl : -12.753071025299164, net_pnl : -14.47562259063102
Trade at 2018-04-20 06:00:00 with price 8350.56 and signal -1, total assets : -0.11975244774003181, trade_pnl : 0, net_pnl : -14.47562259063102
Trade at 2018-04-20 07:30:00 with price 8365.02 and signal 1, total assets : 0, trade_pnl : -1.7316203943209985, net_pnl : -16.207242984952018
Trade at 2018-04-20 08:00:00 with price 8324.89 and signal 1, total assets : 0.1201217073138504, trade_pnl : 0, net_pnl : -16.207242984952018
Trade at 2018-04-20 12:00:00 with price 8309.89 and signal -1, total assets : 0, trade_pnl : -1.8018256097077483, net_pnl : -18.009068594659766
Trade at 2018-04-20 12:30:00 with price 8332.99 and signal -1, total assets : -0.1200049442037012, trade_pnl : 0, net_pnl : -18.009068594659766
Trade at 2018-04-20 16:00:00 with price 8488.01 and signal 1, total assets : 0, trade_pnl : -18.60316645045782, net_pnl : -36.612235045117586
Trade at 2018-04-20 16:30:00 with price 8509.88 and signal -1, total assets : -0.1175104701828933, trade_pnl : 0, net_pnl : -36.612235045117586
Trade at 2018-04-20 18:00:00 with price 8519.62 and signal 1, total assets : 0, trade_pnl : -1.1445519795815926, net_pnl : -37.75678702469918
Trade at 2018-04-20 18:30:00 with price 8487.06 and signal 1, total assets : 0.11782643223919709, trade_pnl : 0, net_pnl : -37.75678702469918
Trade at 2018-04-20 23:00:00 with price 8505.0 and signal -1, total assets : 0, trade_pnl : 2.11380619437125, net_pnl : -35.64298083032793
Trade at 2018-04-20 23:30:00 with price 8507.97 and signal -1, total assets : -0.11753685074112862, trade_pnl : 0, net_pnl : -35.64298083032793
Trade at 2018-04-21 01:30:00 with price 8507.0 and signal 1, total assets : 0, trade_pnl : 0.11401074521882038, net_pnl : -35.52897008510911
Trade at 2018-04-21 02:00:00 with price 8525.83 and signal -1, total assets : -0.11729063328731631, trade_pnl : 0, net_pnl : -35.52897008510911
Trade at 2018-04-21 04:00:00 with price 8830.0 and signal 1, total assets : 0, trade_pnl : -35.67629192700315, net_pnl : -71.20526201211226
Trade at 2018-04-21 04:30:00 with price 8815.0 and signal 1, total assets : 0.11344299489506524, trade_pnl : 0, net_pnl : -71.20526201211226
Trade at 2018-04-21 05:00:00 with price 8856.98 and signal -1, total assets : 0, trade_pnl : 4.762336925694854, net_pnl : -66.4429250864174
Trade at 2018-04-21 05:30:00 with price 8840.04 and signal -1, total assets : -0.11312166008298603, trade_pnl : 0, net_pnl : -66.4429250864174
Trade at 2018-04-21 06:00:00 with price 8814.99 and signal 1, total assets : 0, trade_pnl : 2.833697585078994, net_pnl : -63.60922750133841
Trade at 2018-04-21 06:30:00 with price 8795.0 and signal 1, total assets : 0.1137009664582149, trade_pnl : 0, net_pnl : -63.60922750133841
Trade at 2018-04-21 10:30:00 with price 8862.27 and signal -1, total assets : 0, trade_pnl : 7.648664013644179, net_pnl : -55.96056348769423
Trade at 2018-04-21 11:00:00 with price 8878.07 and signal -1, total assets : -0.11263709342233166, trade_pnl : 0, net_pnl : -55.96056348769423
Trade at 2018-04-21 13:00:00 with price 8874.88 and signal 1, total assets : 0, trade_pnl : 0.35931232801726765, net_pnl : -55.60125115967696
Trade at 2018-04-21 13:30:00 with price 8797.5 and signal 1, total assets : 0.11366865586814436, trade_pnl : 0, net_pnl : -55.60125115967696
Trade at 2018-04-21 17:30:00 with price 8702.92 and signal -1, total assets : 0, trade_pnl : -10.750781472009066, net_pnl : -66.35203263168603
Trade at 2018-04-21 18:00:00 with price 8755.01 and signal -1, total assets : -0.1142203149967847, trade_pnl : 0, net_pnl : -66.35203263168603
Trade at 2018-04-21 21:30:00 with price 8806.03 and signal 1, total assets : 0, trade_pnl : -5.82752047113604, net_pnl : -72.17955310282207
Trade at 2018-04-21 22:00:00 with price 8755.0 and signal 1, total assets : 0.1142204454597373, trade_pnl : 0, net_pnl : -72.17955310282207
Trade at 2018-04-21 22:30:00 with price 8778.0 and signal -1, total assets : 0, trade_pnl : 2.6270702455739183, net_pnl : -69.55248285724815
Trade at 2018-04-21 23:00:00 with price 8760.0 and signal 1, total assets : 0.1141552511415525, trade_pnl : 0, net_pnl : -69.55248285724815
Trade at 2018-04-22 00:30:00 with price 8797.0 and signal -1, total assets : 0, trade_pnl : 4.22374429223737, net_pnl : -65.32873856501078
